_Id	_CreationDate	_PostId	_RelatedPostId	_LinkTypeId
73997	2018-09-06T20:03:46.630	7859	7842	3
74861	2018-09-13T10:12:49.540	7949	5769	1
74874	2018-09-13T10:53:57.323	7916	7952	1
74914	2018-09-13T15:59:36.370	7955	5955	1
74915	2018-09-13T16:00:15.487	7955	5239	1
77351	2018-09-24T13:22:10.870	7328	35	1
77722	2018-09-26T19:19:01.543	5861	7865	1
77779	2018-09-27T13:35:49.813	8145	5728	1
78461	2018-10-01T13:30:51.300	8203	3950	1
78462	2018-10-01T13:38:47.387	8203	3374	1
78761	2018-10-02T23:53:18.980	8227	3494	1
78904	2018-10-03T20:53:03.973	80	8219	1
78956	2018-10-04T07:11:23.617	8251	2980	1
78957	2018-10-04T07:49:48.753	8254	7617	1
80277	2018-10-10T10:02:13.010	8341	7794	1
80459	2018-10-11T17:18:55.547	8359	74	1
80460	2018-10-11T17:19:19.277	8359	1531	1
80529	2018-10-11T23:55:47.353	8341	7406	1
80762	2018-10-13T13:08:47.460	6765	3389	1
80763	2018-10-13T13:08:47.460	6765	7416	1
81104	2018-10-15T06:04:36.427	8414	8338	1
81287	2018-10-15T17:06:20.647	8359	74	3
81375	2018-10-16T00:03:26.557	7897	7337	1
81511	2018-10-16T13:34:12.010	8463	1613	1
81641	2018-10-17T09:55:58.530	8467	7337	1
82170	2018-10-19T10:12:24.067	8168	3428	1
82776	2018-10-22T01:27:58.513	8569	8511	1
83342	2018-10-24T23:39:02.690	8610	8364	1
83406	2018-10-25T10:16:31.263	8615	1479	1
84878	2018-11-01T19:09:48.523	8709	3406	3
85197	2018-11-03T12:51:01.187	8755	5949	1
85216	2018-11-03T14:41:31.623	8761	7963	1
85621	2018-11-05T21:28:27.347	8791	81	1
86045	2018-11-07T22:22:31.113	8824	8651	1
86152	2018-11-08T15:15:55.740	8828	6890	1
86547	2018-11-10T13:32:37.873	8902	5949	1
86563	2018-11-10T14:44:12.973	8821	5949	1
86564	2018-11-10T14:44:55.693	8888	8821	1
86565	2018-11-10T15:27:45.823	8910	4672	1
86566	2018-11-10T15:27:45.823	8910	4910	1
87015	2018-11-12T17:46:07.367	8935	7838	1
87440	2018-11-14T21:10:49.883	8974	1285	1
88694	2018-11-18T22:00:47.657	9047	7328	1
88734	2018-11-18T23:46:59.970	9034	3233	1
89345	2018-11-21T07:05:42.040	9087	74	1
89468	2018-11-21T18:01:33.610	9087	74	3
90332	2018-11-24T21:49:08.167	8951	8821	1
90756	2018-11-26T19:11:05.487	8951	8821	3
90766	2018-11-26T19:42:55.393	9189	4148	1
90822	2018-11-27T00:19:09.213	9189	8631	1
91239	2018-11-28T21:32:39.313	8780	8432	1
91240	2018-11-28T21:32:39.313	8780	1432	1
91241	2018-11-28T21:32:39.313	8780	7986	1
91242	2018-11-28T21:32:39.313	8780	8203	1
91243	2018-11-28T21:32:39.313	8780	4750	1
91412	2018-11-29T19:27:05.387	9231	3002	1
91467	2018-11-29T23:02:12.737	9231	3233	1
91720	2018-11-30T21:58:45.673	9173	6982	1
91783	2018-12-01T06:01:37.497	6968	5898	1
92404	2018-12-04T10:44:50.723	9305	35	1
93924	2018-12-10T07:37:27.507	9429	7079	1
93925	2018-12-10T07:37:27.507	9429	5347	1
93926	2018-12-10T07:37:27.507	9429	7416	1
93927	2018-12-10T07:37:27.507	9429	7328	1
93928	2018-12-10T07:37:27.507	9429	9047	1
94162	2018-12-11T14:32:54.347	6634	7328	1
94376	2018-12-12T07:00:12.553	9461	4672	1
94482	2018-12-12T13:27:58.903	9491	7755	1
94483	2018-12-12T13:27:58.903	9491	2219	1
95322	2018-12-16T02:37:20.897	9417	9534	1
96108	2018-12-19T02:23:39.937	9592	2642	1
96211	2018-12-19T14:55:41.773	9605	2793	1
97626	2018-12-27T00:42:32.183	9405	7337	1
97797	2018-12-27T22:40:42.370	9582	8432	1
97798	2018-12-27T22:40:42.370	9582	3374	1
97799	2018-12-27T22:40:42.370	9582	8203	1
97800	2018-12-27T22:40:42.370	9582	7352	1
97801	2018-12-27T22:40:42.370	9582	6527	1
97818	2018-12-28T00:18:30.347	9610	9405	1
97819	2018-12-28T00:18:30.347	9610	41	1
97820	2018-12-28T00:18:30.347	9610	8219	1
97821	2018-12-28T00:18:30.347	9610	7337	1
97822	2018-12-28T00:18:30.347	9610	4987	1
97823	2018-12-28T00:18:30.347	9610	7573	1
97824	2018-12-28T00:18:30.347	9610	15	1
98698	2019-01-01T21:23:10.047	3472	8190	1
98717	2019-01-02T00:45:05.643	9725	3472	1
98718	2019-01-02T00:45:05.643	9725	9624	1
98951	2019-01-03T17:45:03.813	9813	9725	1
98952	2019-01-03T17:48:14.577	9814	8611	1
99148	2019-01-04T15:32:52.677	9829	7298	1
100321	2019-01-10T05:47:59.047	9914	8039	1
100538	2019-01-11T06:35:26.027	9930	9897	1
100549	2019-01-11T06:51:34.293	9930	9814	1
100745	2019-01-12T01:09:03.157	9941	8027	1
101962	2019-01-15T20:11:32.247	9991	36	3
102178	2019-01-16T18:14:10.703	10032	6573	1
102204	2019-01-16T19:58:36.850	10032	7963	1
102271	2019-01-17T01:18:01.303	9889	2260	3
102606	2019-01-18T08:53:09.787	9889	2260	1
103067	2019-01-20T14:49:32.590	10013	7328	1
103404	2019-01-21T18:59:11.423	10119	6669	1
103405	2019-01-21T18:59:34.273	6669	10119	1
103484	2019-01-22T02:25:29.577	9479	7328	1
103485	2019-01-22T02:25:29.577	9479	10044	1
103516	2019-01-22T07:14:24.343	10127	3374	1
103667	2019-01-22T18:08:05.100	10127	3374	3
104014	2019-01-24T08:09:53.633	10155	7328	1
104092	2019-01-24T16:44:52.397	9996	9089	1
104860	2019-01-27T20:16:58.950	10233	1742	3
105063	2019-01-28T14:51:33.270	3161	10098	1
105064	2019-01-28T14:51:33.270	3161	9745	1
105065	2019-01-28T14:51:33.270	3161	8219	1
105230	2019-01-29T04:38:40.830	10282	4027	1
105357	2019-01-29T18:02:23.903	10298	10265	1
105368	2019-01-29T18:04:21.987	10265	10298	1
105444	2019-01-30T03:03:26.947	10302	240	1
105496	2019-01-30T09:46:29.477	10303	7589	1
105586	2019-01-30T17:30:49.690	10302	240	3
105600	2019-01-30T17:59:25.407	10303	9504	1
105870	2019-01-31T17:49:33.080	10329	6573	1
106577	2019-02-04T12:24:34.163	10386	1742	1
107122	2019-02-05T21:50:54.360	10386	1742	3
107830	2019-02-08T19:40:38.440	10465	10036	1
108179	2019-02-10T04:04:36.467	10203	10306	1
108634	2019-02-11T21:25:45.743	10513	3374	3
108791	2019-02-12T15:35:19.467	10532	10531	1
108792	2019-02-12T15:35:19.467	10532	10372	1
108820	2019-02-12T16:51:26.313	10529	10336	1
109447	2019-02-14T20:06:27.133	9908	10416	1
110517	2019-02-17T13:02:37.940	10607	2008	1
110588	2019-02-17T19:37:42.553	10641	6231	1
110589	2019-02-17T19:37:42.553	10641	6329	1
110650	2019-02-17T23:21:36.873	10643	10644	1
110661	2019-02-17T23:31:00.887	10644	10643	1
110665	2019-02-17T23:36:07.627	10643	145	1
111372	2019-02-19T09:31:39.820	10719	9024	1
111404	2019-02-19T11:02:37.650	10725	4509	1
111417	2019-02-19T11:27:40.387	10725	4509	3
111937	2019-02-20T20:54:53.377	10772	7640	1
113668	2019-02-26T17:19:08.930	10897	1987	1
113879	2019-02-27T12:02:55.730	10064	10082	1
115150	2019-03-04T17:41:18.510	11001	10442	1
115607	2019-03-06T12:19:18.067	11054	7756	1
115619	2019-03-06T12:20:57.820	11054	7756	3
116829	2019-03-10T23:11:10.293	11142	2980	1
117015	2019-03-11T16:35:30.547	11152	8962	1
117812	2019-03-14T02:31:53.637	11214	5638	1
117873	2019-03-14T08:38:13.693	11223	2366	1
117895	2019-03-14T09:49:05.820	11166	11169	1
118187	2019-03-15T04:49:22.113	11227	11218	1
118222	2019-03-15T10:24:56.813	11166	11226	1
121819	2019-03-26T17:46:54.747	11426	2955	1
122159	2019-03-27T18:34:32.143	11488	2980	1
122163	2019-03-27T18:41:52.683	11488	2980	3
123077	2019-03-30T19:25:49.693	11523	2872	1
123087	2019-03-30T20:23:57.617	11552	5955	1
123268	2019-03-31T12:38:42.873	11523	2277	1
123269	2019-03-31T12:40:33.947	2872	11523	1
123295	2019-03-31T12:56:18.230	2277	11523	1
123296	2019-03-31T12:56:18.230	2277	2872	1
124180	2019-04-03T15:42:04.977	11626	3156	1
124472	2019-04-04T15:41:13.910	6579	10839	1
124504	2019-04-04T17:23:42.413	10644	2347	1
124573	2019-04-04T19:14:14.507	11648	10591	1
124966	2019-04-05T18:23:46.233	11679	11057	1
125862	2019-04-08T13:32:50.140	11718	5452	1
125863	2019-04-08T13:32:50.140	11718	10546	1
125867	2019-04-08T15:33:38.463	11717	7721	1
126104	2019-04-09T11:31:19.857	11702	7328	1
126738	2019-04-11T14:13:56.783	11774	4432	1
127087	2019-04-12T17:25:45.473	11792	10812	1
127462	2019-04-13T21:01:01.257	11092	11116	1
129550	2019-04-20T18:39:43.833	11906	11629	1
129867	2019-04-21T19:04:22.167	11927	2277	1
129879	2019-04-21T19:18:53.453	11807	52	1
130050	2019-04-22T12:07:32.390	11941	7721	1
130143	2019-04-22T18:25:23.243	11945	7769	1
130504	2019-04-23T14:23:23.623	11949	10177	1
132539	2019-04-27T16:19:04.490	11729	1362	1
132765	2019-04-28T16:55:21.243	12042	11717	1
132783	2019-04-28T17:39:11.357	12042	11976	1
133188	2019-04-30T14:51:25.057	12066	11971	1
133203	2019-04-30T15:19:37.863	12065	6997	1
134233	2019-05-03T12:58:35.270	3374	1913	1
134234	2019-05-03T13:00:58.787	8780	1913	1
134721	2019-05-05T06:02:07.293	12139	1742	1
134727	2019-05-05T06:46:03.947	12139	1742	3
134898	2019-05-05T18:08:03.360	12154	6052	1
134899	2019-05-05T18:08:03.360	12154	1314	1
134900	2019-05-05T18:08:03.360	12154	1394	1
134901	2019-05-05T18:08:03.360	12154	2192	1
135510	2019-05-07T21:32:27.167	12183	3209	1
136060	2019-05-09T21:27:16.143	11575	4965	1
136243	2019-05-10T14:45:44.747	11117	5539	1
136481	2019-05-11T14:04:12.027	11976	5955	1
136628	2019-05-12T01:16:51.387	12266	10623	1
136805	2019-05-12T19:02:49.683	12276	11679	1
137093	2019-05-13T18:05:19.047	12171	9829	1
137152	2019-05-13T21:33:02.953	4683	12042	1
137637	2019-05-14T15:59:22.350	12154	1774	1
137868	2019-05-15T15:15:16.280	12321	12318	1
138227	2019-05-16T15:26:41.373	12172	7547	1
139179	2019-05-19T13:28:32.363	12408	11286	1
139196	2019-05-19T13:33:14.497	12404	12142	1
140257	2019-05-22T15:24:37.517	12472	11375	1
140683	2019-05-24T11:02:01.823	5085	4965	1
140684	2019-05-24T11:08:47.010	12497	10289	1
140685	2019-05-24T11:15:57.137	12497	11405	1
140765	2019-05-24T18:52:51.573	9582	9542	3
141179	2019-05-26T07:44:36.570	12537	7756	1
141733	2019-05-28T10:30:16.410	12565	12497	1
142014	2019-05-29T12:57:00.323	12577	12264	1
142163	2019-05-29T23:21:00.513	12565	10289	1
142508	2019-05-31T12:58:10.533	12607	12544	1
142928	2019-06-03T05:44:59.120	12649	6934	1
142965	2019-06-03T15:45:09.250	12659	12142	1
143305	2019-06-04T23:13:45.340	12690	9076	1
143545	2019-06-05T17:01:12.107	10196	10194	1
143669	2019-06-05T22:29:31.837	12711	4610	1
143769	2019-06-06T11:01:52.903	12565	4245	1
143933	2019-06-06T23:23:48.323	5688	220	1
144078	2019-06-07T17:17:06.823	12739	10623	1
144079	2019-06-07T17:28:08.770	12739	6579	1
144133	2019-06-07T20:46:50.027	6579	12274	1
144425	2019-06-09T10:15:23.850	12755	5769	1
144664	2019-06-10T10:23:02.777	12769	6518	1
144665	2019-06-10T10:23:02.777	12769	7437	1
144666	2019-06-10T10:23:02.777	12769	8780	1
144754	2019-06-10T16:12:04.993	11787	12759	1
144977	2019-06-11T06:24:45.797	12790	10414	1
144978	2019-06-11T06:24:45.797	12790	4072	1
144979	2019-06-11T06:24:45.797	12790	4750	1
145478	2019-06-13T09:35:01.510	12827	8962	1
145479	2019-06-13T09:38:12.037	12827	9024	1
145755	2019-06-14T17:03:32.020	12848	4456	1
145756	2019-06-14T17:03:32.020	12848	11433	1
145757	2019-06-14T17:03:32.020	12848	11809	1
145949	2019-06-15T01:07:30.190	12324	12657	1
147055	2019-06-17T19:30:07.840	12899	1432	1
147422	2019-06-18T16:17:33.480	12912	12915	1
148593	2019-06-21T16:26:39.813	9474	8902	1
148856	2019-06-22T13:55:07.180	12990	7205	1
148858	2019-06-22T14:04:23.297	12990	3494	1
148859	2019-06-22T14:08:05.810	6909	4933	1
148881	2019-06-22T15:21:22.690	12985	7763	1
149398	2019-06-24T08:04:49.697	13018	5782	1
149509	2019-06-24T11:46:35.677	5235	12142	1
150368	2019-06-26T22:13:28.983	13069	4796	1
150588	2019-06-27T15:14:23.067	13088	12274	1
150708	2019-06-27T20:20:32.040	7624	12991	1
150918	2019-06-28T13:37:14.143	7431	5410	1
151401	2019-06-29T23:17:22.447	6905	211	1
151559	2019-06-30T15:39:17.697	13135	12274	1
151560	2019-06-30T15:39:17.697	13135	10812	1
151983	2019-07-01T21:33:12.890	6905	211	3
152846	2019-07-05T12:20:46.033	13208	9396	1
153317	2019-07-07T09:27:54.360	13233	7328	1
154158	2019-07-09T13:36:47.377	13281	7640	1
154197	2019-07-09T15:14:10.980	6038	6091	1
154456	2019-07-10T15:16:40.050	13281	7640	3
154604	2019-07-10T22:56:16.147	11640	13289	1
154712	2019-07-11T07:16:59.737	12773	2980	1
154970	2019-07-11T22:15:53.363	12773	2980	3
155244	2019-07-12T23:57:26.047	13079	8203	1
155245	2019-07-12T23:57:26.047	13079	8432	1
156176	2019-07-15T20:50:49.250	13376	8844	1
156527	2019-07-16T20:25:56.483	13379	12689	1
156603	2019-07-16T22:46:26.720	13401	13289	1
157015	2019-07-18T14:17:21.907	13420	12434	1
157115	2019-07-18T17:52:49.970	13425	1507	1
157130	2019-07-18T18:26:03.540	13425	1507	3
157198	2019-07-18T23:25:15.663	13420	13119	1
158725	2019-07-23T16:21:05.930	13511	13476	1
158726	2019-07-23T16:23:32.910	13526	5728	1
158907	2019-07-23T22:02:12.300	13544	13524	1
159218	2019-07-24T22:14:44.443	13556	1432	1
159427	2019-07-25T14:14:33.150	13555	13577	1
159500	2019-07-25T19:46:10.237	13556	1432	3
159909	2019-07-26T23:29:30.697	10636	6426	1
